date,mean_sentiment,Volume,Volume Weighted,Open,Close,High,Low,Count
2023-03-13,0.0223214285714285,84457122.0,151.1835,147.805,150.47,153.14,147.7,760660.0
2023-03-14,0.2799999999999999,72045893.0,152.1061,151.28,152.59,153.4,150.1,565196.0
2023-03-15,0.0482363315696649,77167866.0,151.7861,151.19,152.99,153.245,149.92,703116.0
2023-03-16,0.0747619047619047,76206919.0,154.813,152.16,155.85,156.46,151.64,676097.0
2023-03-17,0.0728181818181818,98944633.0,155.3402,156.08,155.0,156.74,154.28,615778.0
2023-03-18,-0.0124999999999999,98944633.0,155.3402,156.08,155.0,156.74,154.28,615778.0
2023-03-19,0.2038690476190476,98944633.0,155.3402,156.08,155.0,156.74,154.28,615778.0
2023-03-20,0.0119047619047619,72711415.0,156.6059,155.07,157.4,157.82,154.15,628984.0
2023-03-21,0.1384523809523809,73938285.0,158.3406,157.32,159.28,159.4,156.54,590982.0
2023-03-22,0.053125,75349311.0,159.6832,159.3,157.83,162.14,157.81,656865.0
2023-03-23,0.1210714285714285,67482060.0,159.5685,158.83,158.93,161.5501,157.68,614268.0
2023-03-24,0.0670079365079365,59006343.0,159.2417,158.86,160.25,160.34,157.85,517531.0
2023-03-25,0.019047619047619,59006343.0,159.2417,158.86,160.25,160.34,157.85,517531.0
2023-03-26,0.1285714285714285,59006343.0,159.2417,158.86,160.25,160.34,157.85,517531.0
2023-03-27,0.135813492063492,52390266.0,159.0188,159.94,158.28,160.77,157.87,518436.0
2023-03-28,0.0962433862433862,45992152.0,156.9785,157.97,157.65,158.49,155.98,432447.0
2023-03-29,0.05,51305691.0,160.216,159.37,160.77,161.05,159.35,472077.0
2023-03-30,0.10625,49210289.0,162.0209,161.53,162.36,162.47,161.271,456152.0
2023-03-31,0.1603968253968254,68749792.0,164.0421,162.44,164.9,165.0,161.91,574409.0
2023-04-01,0.2169642857142857,68749792.0,164.0421,162.44,164.9,165.0,161.91,574409.0
2023-04-02,0.0575396825396825,68749792.0,164.0421,162.44,164.9,165.0,161.91,574409.0
2023-04-03,0.3139682539682539,56976187.0,165.3487,164.27,166.17,166.29,164.22,568686.0
2023-04-04,0.0475,46278295.0,165.9131,166.595,165.63,166.84,165.11,456306.0
2023-04-05,0.2376190476190476,51511744.0,163.4912,164.74,163.76,165.05,161.8,533621.0
2023-04-06,0.0283333333333333,45390123.0,164.0257,162.43,164.66,164.9584,162.0,446212.0
2023-04-07,0.0607503607503607,45390123.0,164.0257,162.43,164.66,164.9584,162.0,446212.0
2023-04-08,0.0791666666666666,45390123.0,164.0257,162.43,164.66,164.9584,162.0,446212.0
2023-04-09,0.25,45390123.0,164.0257,162.43,164.66,164.9584,162.0,446212.0
2023-04-10,0.1647474747474747,47670382.0,161.2628,161.42,162.03,162.03,160.08,563913.0
2023-04-11,0.2113095238095238,47494217.0,161.1314,162.35,160.8,162.36,160.51,490479.0
2023-04-12,-0.0435454545454545,50133062.0,160.8845,161.22,160.1,162.06,159.78,514261.0
2023-04-13,0.1334523809523809,68418649.0,164.3531,161.63,165.56,165.8,161.42,595709.0
2023-04-14,0.135,49314480.0,165.0394,164.59,165.21,166.32,163.82,489551.0
2023-04-15,0.0958333333333333,49314480.0,165.0394,164.59,165.21,166.32,163.82,489551.0
2023-04-16,0.1182539682539682,49314480.0,165.0394,164.59,165.21,166.32,163.82,489551.0
2023-04-17,0.1169444444444444,41516217.0,164.8044,165.09,165.23,165.39,164.03,483388.0
2023-04-18,0.3542316017316017,49915508.0,166.3535,166.1,166.47,167.41,165.65,494642.0
2023-04-19,0.1025,47621166.0,167.2806,165.8,167.63,168.16,165.54,473866.0
2023-04-20,0.0661111111111111,52456377.0,166.779,166.09,166.65,167.87,165.56,493153.0
2023-04-21,-0.1289962121212121,57736141.0,165.0754,165.05,165.02,166.4521,164.49,520279.0
2023-04-22,0.0279431216931216,57736141.0,165.0754,165.05,165.02,166.4521,164.49,520279.0
2023-04-23,-0.1,57736141.0,165.0754,165.05,165.02,166.4521,164.49,520279.0
2023-04-24,0.09,41449581.0,164.9397,165.0,165.33,165.6,163.89,459499.0
